customer_id,salary_delay_days,salary_amount_variance,salary_frequency_irregular,savings_drawdown_rate_4w,savings_balance_trend_slope,emergency_fund_days,upi_lending_app_txn_count_30d,upi_lending_app_amount_30d,upi_lending_app_diversity,utility_payment_delay_avg,bill_payment_delay_max,discretionary_spend_pct_change,essential_spend_ratio,atm_withdrawal_spike_30d,has_loan,emi_to_income_ratio,loan_to_income_ratio,age,monthly_income,employment_type,city_tier,will_default_in_21_days
CUST00000001,0,0.0048,0,-0.0713,-308.42,496.7,0,0.0,0,0.0,0.0,-0.3148,0.4767,0.0,1,0.2622,0.6392,40,64552.93,SALARIED,TIER_1,0
CUST00000002,-1,0.0,0,-0.0415,-331.15,232.6,0,0.0,0,1.1,2.0,-0.0026,0.7028,0.0,0,0.0,0.0,42,63357.3,SELF_EMPLOYED,TIER_1,0
CUST00000003,0,0.009,0,-0.0806,-658.35,110.1,0,0.0,0,1.7,4.0,-0.5855,0.9128,0.0,1,0.4416,4.802,37,70193.67,SALARIED,TIER_1,1
CUST00000004,0,0.0291,0,-0.0223,-50.81,205.0,1,15611.51,1,2.6,4.0,-0.2261,0.837,1.5,1,0.1511,0.1606,46,100819.29,SALARIED,TIER_1,0
CUST00000005,0,0.0355,0,0.0433,578.25,297.5,0,0.0,0,0.0,0.0,1.1886,0.4155,1.5,0,0.0,0.0,26,46001.04,SALARIED,TIER_1,0
CUST00000006,0,0.1244,0,-0.3485,-596.04,9.6,3,24476.87,3,8.9,14.0,-0.0202,0.8152,0.0,0,0.0,0.0,26,61770.54,SALARIED,TIER_1,0
CUST00000007,-1,0.0,0,0.0469,2428.7,795.9,0,0.0,0,0.0,0.0,0.962,0.3383,0.5,0,0.0,0.0,51,207275.24,BUSINESS,TIER_3,0
CUST00000008,0,0.0111,0,0.0742,924.47,597.4,0,0.0,0,0.0,0.0,-0.3357,0.7645,0.0,0,0.0,0.0,40,72968.92,SALARIED,TIER_1,0
CUST00000009,0,0.0014,0,0.0333,125.25,220.7,0,0.0,0,1.6,4.0,-0.8043,0.958,0.5,1,0.3718,0.2091,49,97577.91,SALARIED,TIER_1,1
CUST00000010,-1,0.0,0,-0.0552,-212.1,111.5,0,0.0,0,1.3,4.0,-0.9207,0.9155,1.5,0,0.0,0.0,26,47787.7,GIG_WORKER,TIER_3,0
CUST00000011,0,0.0114,0,0.0671,591.68,848.2,0,0.0,0,0.0,0.0,-0.4204,0.6939,0.0,1,0.3293,3.0052,44,103547.22,SALARIED,TIER_2,0
CUST00000012,-1,0.0,0,-0.0212,-127.79,607.3,0,0.0,0,0.0,0.0,-0.526,0.3733,0.0,0,0.0,0.0,33,65958.34,SELF_EMPLOYED,TIER_1,0
CUST00000013,0,0.0223,0,-0.0002,16.99,924.9,0,0.0,0,0.0,0.0,0.2839,0.1561,0.0,1,0.3659,5.3049,38,83447.65,SALARIED,TIER_1,0
CUST00000014,0,0.0074,0,0.0093,750.05,960.0,0,0.0,0,0.0,0.0,-0.3871,0.6183,0.0,0,0.0,0.0,39,58918.13,SALARIED,TIER_1,0
CUST00000015,0,0.014,0,0.0092,153.04,230.8,0,0.0,0,0.0,0.0,1.3635,0.4949,0.0,1,0.1383,0.1297,33,54315.77,SALARIED,TIER_2,0
CUST00000016,0,0.0377,0,0.068,261.98,353.5,0,0.0,0,1.9,4.0,0.0,0.768,1.5,1,0.5879,0.5144,46,113926.66,SALARIED,TIER_3,0
CUST00000017,-1,0.0,0,-0.0987,-284.03,285.9,0,0.0,0,2.0,4.0,-0.1243,0.4846,0.0,0,0.0,0.0,36,121408.56,BUSINESS,TIER_2,0
CUST00000018,0,0.0296,0,0.064,1411.23,1056.5,0,0.0,0,0.0,0.0,-0.1132,0.5072,0.0,1,0.1729,0.2918,34,76616.78,SALARIED,TIER_1,0
CUST00000019,0,0.0245,0,0.0455,623.51,1009.5,0,0.0,0,0.0,0.0,-0.5476,0.648,0.0,0,0.0,0.0,36,78374.89,SALARIED,TIER_2,0
